index,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
0,University of Texas,78705,30.30123,-97.73674,Guesthouse,Entire home/apt,2,1,1,5,85
1,East Downtown,78702,30.2775,-97.71398,House,Entire home/apt,4,2,2,6,225
2,East Downtown,78702,30.27577,-97.71379,House,Private room,2,1,1,1,100
3,East Downtown,78702,30.26112,-97.73448,Guesthouse,Entire home/apt,3,1,1,2,95
4,SW Williamson Co.,78729,30.45596,-97.7837,House,Private room,2,1,1,1,40
5,Travis Heights,78704,30.24829,-97.73726,Guesthouse,Entire home/apt,2,1,,1,99
6,Zilker,78704,30.26027,-97.76503,Guesthouse,Entire home/apt,3,1,1,2,129
7,East Riverside,78741,30.23616,-97.73682,Guest suite,Entire home/apt,2,1,1,1,40
8,Travis Heights,78704,30.25012,-97.74193,House,Entire home/apt,5,2,2,4,260
9,,78748,30.15645,-97.82411,House,Entire home/apt,6,2,3,3,300
10,Travis Heights,78704,30.24503,-97.74075,House,Entire home/apt,5,1,2,2,550
11,West Campus,78705,30.29422,-97.74618,House,Entire home/apt,4,1,2,3,220
12,Balcones Civic Association,78759,30.38957,-97.76216,Condominium,Entire home/apt,4,2.5,2,2,155
13,East Riverside,78741,30.23564,-97.73146,Guesthouse,Entire home/apt,2,1,1,2,54
14,Clarksville,78703,30.28027,-97.75596,Guest suite,Entire home/apt,6,1,2,3,95
15,Brentwood,78757,30.33766,-97.73726,House,Entire home/apt,4,1,2,2,100
16,Cherry Creek,78749,30.20273,-97.84439,House,Entire home/apt,6,2,3,3,55
17,Scofield Ridge,78727,30.4303,-97.69125,House,Private room,1,1,1,1,35
18,Tarrytown,78703,30.29996,-97.77832,House,Entire home/apt,2,1,1,1,59
19,Northwest Hills,78731,30.35141,-97.76323,House,Entire home/apt,4,2,2,2,350
20,Tarrytown,78703,30.30038,-97.77886,House,Entire home/apt,4,1,1,2,105
21,,78758,30.37641,-97.70926,House,Private room,1,1,1,1,52
22,McKinney,78744,30.20093,-97.75318,Guest suite,Entire home/apt,3,1,1,2,40
23,University of Texas,78705,30.28625,-97.75022,Condominium,Entire home/apt,2,1,2,3,100
24,Clarksville,78703,30.28271,-97.75881,Guesthouse,Entire home/apt,2,1,0,2,300
25,Clarksville,78703,30.28188,-97.76413,Townhouse,Entire home/apt,6,2.5,3,3,500
26,Travis Heights,78704,30.2444,-97.75121,Apartment,Entire home/apt,2,1,0,1,150
27,Zilker,78704,30.25596,-97.76866,Guesthouse,Entire home/apt,6,1,1,3,99
28,Tarrytown,78703,30.29717,-97.77102,House,Entire home/apt,4,1,2,2,249
